time,,,,,,,
2.592000000000002,1594289079.0800476,-126124,7320,-1849,2274961,-2280975,-86,
2.596000000000002,1594289079.080092,-27123,4137,-2111,1190851,-1195292,644,
2.600000000000002,1594289079.0801353,3709,2892,-2699,5348,-8324,1183,
2.604000000000002,1594289079.080225,-6131,5606,-2994,45909,-50001,447,
2.608000000000002,1594289079.080273,-68582,9084,-3027,889656,-895703,-143,
2.612000000000002,1594289079.0803163,-125619,8072,-2492,2350408,-2356480,-86,
2.616000000000002,1594289079.080362,-27725,3546,-1478,1293249,-1297671,629,
2.620000000000002,1594289079.0804071,3818,1302,-1148,11811,-14742,1204,
2.624000000000002,1594289079.080451,-5894,2494,-11,46489,-50428,483,
2.628000000000002,1594289079.0804942,-68849,4301,1692,883264,-889086,-221,
2.632000000000002,1594289079.0805383,-126332,2920,2493,2251099,-2256926,-129,
2.636000000000002,1594289079.0805836,-28261,-831,2877,1183571,-1187871,628,
2.640000000000002,1594289079.0806265,3479,-2857,3042,6632,-9404,1141,
2.644000000000002,1594289079.0806715,-5983,-2402,4856,44826,-48538,455,
2.648000000000002,1594289079.080727,-68132,-1623,7363,893121,-898683,-162,
2.652000000000002,1594289079.0807726,-120099,-2998,8272,2243490,-2249045,-113,
2.656000000000002,1594289079.0808163,-26282,-5752,7653,1152114,-1156046,596,
2.660000000000002,1594289079.0808604,3379,-7241,7338,3495,-5988,1177,
2.664000000000002,1594289079.080904,-5698,-6812,9216,42667,-46085,423,
2.668000000000002,1594289079.0809486,-65980,-6141,11864,864995,-870223,-198,
2.672000000000002,1594289079.0809922,-120730,-7092,12315,2229552,-2234849,-134,
2.676000000000002,1594289079.0810363,-26737,-9107,10994,1176088,-1179816,641,
2.680000000000002,1594289079.081082,3251,-10091,10218,5437,-7694,1161,
2.684000000000002,1594289079.0811245,-5927,-9488,11849,45832,-48996,457,
2.688000000000002,1594289079.0811677,-65714,-8537,14170,865075,-870108,-160,
2.692000000000002,1594289079.0812132,-120035,-9074,14157,2200826,-2205903,-83,
2.696000000000002,1594289079.0812674,-26363,-10480,12409,1156233,-1159797,634,
2.700000000000002,1594289079.081313,3224,-11085,11181,6215,-8408,1217,
2.704000000000002,1594289079.0813558,-5635,-10080,12350,47050,-50203,437,
2.708000000000002,1594289079.0814016,-67489,-8607,14241,926418,-931454,-123,
2.712000000000002,1594289079.0814455,-122058,-8465,13726,2342153,-2347315,-111,
2.716000000000002,1594289079.0814886,-27431,-9542,11527,1272051,-1275774,627,
2.720000000000002,1594289079.0815327,3170,-9798,9913,12836,-15101,1197,
2.724000000000002,1594289079.0815756,-5343,-8241,10527,42477,-45781,489,
2.728000000000002,1594289079.081621,-65886,-6195,11919,882454,-887707,-155,
2.732000000000002,1594289079.0816643,-124923,-5644,11004,2345573,-2351035,-138,
2.736000000000002,1594289079.0817065,-27966,-6623,8627,1287886,-1291818,585,
2.740000000000002,1594289079.0817626,3485,-6588,6726,13367,-15879,1134,
2.744000000000002,1594289079.0818071,-5363,-4469,6826,39070,-42704,505,
2.748000000000002,1594289079.081851,-64771,-1847,7614,841805,-847380,-135,
2.752000000000002,1594289079.0818965,-121621,-1087,6489,2228793,-2234511,-112,
2.756000000000002,1594289079.0819402,-28097,-2164,4197,1212160,-1216370,582,
2.760000000000002,1594289079.0819855,3560,-2173,2317,9458,-12245,1151,
2.764000000000002,1594289079.0820286,-5293,530,1886,41518,-45400,473,
2.768000000000002,1594289079.0820727,-67089,4079,1840,874093,-879922,-201,
2.772000000000002,1594289079.0821152,-126654,4970,569,2305321,-2311307,-157,
2.776000000000002,1594289079.0821593,-28365,2474,-328,1271284,-1275757,588,
2.780000000000002,1594289079.0822191,3659,1835,-1573,13155,-16108,1142,
2.784000000000002,1594289079.0822659,-5152,4455,-1953,38687,-42662,443,
2.788000000000002,1594289079.0823245,-67807,8968,-2948,893985,-899961,-186,
2.792000000000002,1594289079.0823689,-124322,8671,-3157,2284594,-2290628,-191,
2.796000000000002,1594289079.082413,-28844,4673,-2455,1265510,-1270007,568,
2.800000000000002,1594289079.0824573,3644,2689,-2444,13569,-16579,1173,
2.804000000000002,1594289079.0825021,-5087,4492,-2062,38658,-42646,506,
2.808000000000002,1594289079.082545,-66633,7170,-1246,872893,-878827,-138,
2.812000000000002,1594289079.0825896,-124484,5884,-405,2287320,-2293269,-138,
2.816000000000002,1594289079.0826333,-28861,1767,336,1275640,-1280058,593,
2.820000000000002,1594289079.0826774,3545,-468,656,15108,-17990,1158,
2.824000000000002,1594289079.0827215,-5179,113,2226,40989,-44713,443,
2.828000000000002,1594289079.082765,-68269,1518,4359,916459,-922085,-222,
2.832000000000002,1594289079.0828223,-127803,113,5390,2398459,-2404213,-169,
2.836000000000002,1594289079.082869,-30886,-3192,5320,1389482,-1393767,559,
2.840000000000002,1594289079.082913,3335,-5076,5260,22389,-25051,1134,
2.844000000000002,1594289079.0829568,-5156,-4644,6991,38390,-41894,420,
2.848000000000002,1594289079.083002,-66494,-3940,9662,883972,-889333,-141,
2.852000000000002,1594289079.0830452,-128051,-5027,10361,2375248,-2380631,-155,
2.856000000000002,1594289079.083089,-30927,-7423,9478,1370060,-1373994,566,
2.860000000000002,1594289079.0831337,3230,-8838,8977,20924,-23275,1128,
2.864000000000002,1594289079.0831769,-5414,-8420,10702,39483,-42700,412,
2.868000000000002,1594289079.0832214,-65556,-7587,13217,863276,-868391,-125,
2.872000000000002,1594289079.083285,-127084,-8184,13566,2371157,-2376425,-119,
2.876000000000002,1594289079.08334,-31251,-9973,12053,1399781,-1403492,497,
2.880000000000002,1594289079.0833967,2976,-10895,11102,23880,-26118,1121,
2.884000000000002,1594289079.0834422,-5175,-10103,12339,38392,-41474,470,
2.888000000000002,1594289079.083486,-65102,-8816,14446,847967,-852878,-211,
2.892000000000002,1594289079.0835302,-123006,-8977,14306,2248638,-2253731,-144,
2.896000000000002,1594289079.0835752,-30374,-10230,12396,1326881,-1330585,539,
2.900000000000002,1594289079.0836186,3083,-10792,10945,21116,-23321,1107,
2.904000000000002,1594289079.0836613,-5050,-9588,11783,39305,-42389,469,
2.908000000000002,1594289079.0837057,-63869,-7764,13453,858455,-863546,-137,
2.912000000000002,1594289079.083749,-123045,-7533,12874,2290774,-2296055,-139,
2.916000000000002,1594289079.0837936,-29473,-8314,10404,1309304,-1313153,611,
2.920000000000002,1594289079.0838501,3165,-8530,8691,20194,-22553,1111,
2.924000000000002,1594289079.0838943,-4697,-6830,9073,35196,-38559,474,
2.928000000000002,1594289079.083938,-64160,-4452,10115,828743,-834066,-117,
2.932000000000002,1594289079.083983,-124181,-3701,9097,2230440,-2235942,-139,
2.936000000000002,1594289079.0840268,-29973,-4671,6787,1252640,-1256797,580,
2.940000000000002,1594289079.0840726,3325,-4582,4804,13415,-16112,1151,
2.944000000000002,1594289079.0841167,-4532,-2339,4644,34039,-37696,526,
2.948000000000002,1594289079.0841603,-63989,742,5031,821429,-827085,-154,
2.952000000000002,1594289079.0842047,-126181,1710,3781,2257909,-2263714,-169,
2.956000000000002,1594289079.084248,-31649,175,2025,1351794,-1356217,573,
2.960000000000002,1594289079.084292,3482,-60,291,22603,-25537,1143,
2.964000000000002,1594289079.0843356,-4484,2422,-71,33643,-37519,534,
2.968000000000002,1594289079.084392,-64059,6564,-571,809991,-815868,-166,
2.972000000000002,1594289079.0844383,-127659,7353,-1676,2271698,-2277767,-161,
2.976000000000002,1594289079.084482,-31906,4193,-1906,1322061,-1326628,544,
2.980000000000002,1594289079.084527,3550,2703,-2468,18373,-21342,1177,
2.984000000000002,1594289079.0845714,-4737,5184,-2828,35998,-39870,475,
2.988000000000002,1594289079.0846157,-65325,9057,-3115,850686,-856638,-122,
2.992000000000002,1594289079.0846608,-129483,8514,-2861,2300855,-2306912,-139,
2.996000000000002,1594289079.0847037,-32629,4047,-1752,1380622,-1385168,569,
3.000000000000002,1594289079.0847478,3542,1579,-1343,26778,-29761,1138,
3.0040000000000022,1594289079.0847938,-4447,2700,-339,33945,-37813,452,
3.0080000000000022,1594289079.0848367,-64205,4744,1152,838426,-844248,-198,
3.0120000000000022,1594289079.0848808,-126579,3128,2405,2293179,-2299082,-173,
3.0160000000000022,1594289079.0849373,-31561,-332,2537,1350561,-1354905,546,
3.0200000000000022,1594289079.0849826,3498,-2429,2633,22798,-25557,1143,
3.0240000000000022,1594289079.085028,-4630,-2122,4365,35141,-38772,468,
3.0280000000000022,1594289079.0850713,-63850,-1352,7049,829562,-835085,-192,
3.0320000000000022,1594289079.0851154,-126575,-2475,7974,2263888,-2269533,-191,
3.0360000000000023,1594289079.08516,-32353,-5158,7414,1351829,-1355976,519,
3.0400000000000023,1594289079.0852401,3189,-6880,7097,22847,-25339,1148,
3.0440000000000023,1594289079.085286,-4492,-6644,8788,32017,-35298,509,
3.0480000000000023,1594289079.0853307,-62239,-5859,11471,806921,-812131,-102,
3.0520000000000023,1594289079.0853765,-122080,-6779,12126,2219601,-2224910,-156,
3.0560000000000023,1594289079.085434,-31369,-8864,10935,1303078,-1306910,595,
3.0600000000000023,1594289079.0854795,3074,-9964,10132,18418,-20683,1142,
3.0640000000000023,1594289079.0855234,-4219,-9447,11618,30769,-33874,493,
3.0680000000000023,1594289079.085568,-60973,-8587,14128,783954,-788893,-158,
3.0720000000000023,1594289079.085612,-123302,-8939,14244,2183529,-2188582,-131,
3.0760000000000023,1594289079.0856586,-31119,-10427,12525,1274923,-1278581,566,
3.0800000000000023,1594289079.0857038,3023,-11027,11150,18824,-21020,1162,
3.0840000000000023,1594289079.0857484,-4275,-10217,12291,30080,-33092,509,
3.0880000000000023,1594289079.0857913,-60763,-8691,14240,800583,-805573,-90,
3.0920000000000023,1594289079.0858374,-120935,-8560,13883,2227746,-2232834,-196,
3.0960000000000023,1594289079.0858812,-31643,-9653,11777,1344584,-1348383,531,
3.1000000000000023,1594289079.0859265,3138,-9948,10124,23149,-25456,1144,
3.1040000000000023,1594289079.0859814,-4095,-8573,10707,30380,-33568,521,
3.1080000000000023,1594289079.0860288,-59574,-6616,12166,764521,-769650,-166,
3.1120000000000023,1594289079.0860722,-120783,-6090,11418,2180729,-2186060,-89,
3.1160000000000023,1594289079.0861173,-32257,-6808,8987,1330367,-1334360,556,
3.1200000000000023,1594289079.0861623,3319,-6814,6925,21700,-24189,1156,
3.1240000000000023,1594289079.086207,-3891,-4919,7027,29106,-32492,548,
3.1280000000000023,1594289079.08625,-60167,-2204,7844,765541,-770996,-89,
3.1320000000000023,1594289079.0862956,-119521,-1343,6680,2113860,-2119615,0,
3.1360000000000023,1594289079.0863397,-30295,-2416,4590,1175769,-1180008,591,
3.1400000000000023,1594289079.086385,3504,-2570,2670,10361,-13123,1187,
3.1440000000000023,1594289079.0864298,-3697,-247,2410,28468,-32173,569,
3.1480000000000024,1594289079.0864723,-60408,3430,2309,773215,-778921,-128,
3.1520000000000024,1594289079.08653,-121623,4399,1148,2144083,-2150004,-157,
3.1560000000000024,1594289079.0865762,-32125,2341,-95,1258545,-1263047,586,
3.1600000000000024,1594289079.0866206,3689,1433,-1311,15695,-18616,1205,
3.1640000000000024,1594289079.086665,-3144,4224,-2014,22523,-26375,570,
3.1680000000000024,1594289079.08671,-57616,8351,-2520,730169,-735981,-142,
3.1720000000000024,1594289079.0867531,-120874,8322,-2711,2155041,-2161040,-85,
3.1760000000000024,1594289079.0867975,-30909,4696,-2458,1263239,-1267747,561,
3.1800000000000024,1594289079.0868428,3761,2751,-2566,15790,-18825,1190,
3.1840000000000024,1594289079.0868864,-3228,4386,-2214,27197,-31030,540,
3.1880000000000024,1594289079.0869305,-58089,7200,-1429,738598,-744421,-112,
3.1920000000000024,1594289079.0869763,-119879,6367,-741,2127548,-2133519,-148,
3.1960000000000024,1594289079.0870318,-31627,2356,-45,1269320,-1273825,573,
